Variable;Outcome;TestSeed;TrainSeed;BioAct;Encoding;Variable_type;Weight;Converged;N;Beta;SE;Beta_pvalue;LRT_pvalue;Diff_AIC;pvalue;odds ratio
SNP1;Outcome;2004;1004;Recessive;Additive;continuous;None;True;5000;0.48954734136797806;0.08742273725931653;2.146346902287764e-08;;;2.146346902287764e-08;1.6315775051336605
SNP2;Outcome;2004;1004;Recessive;Additive;continuous;None;True;5000;-0.16348974665692406;0.11229004961381936;0.1454038596905335;;;0.1454038596905335;0.8491752058416638
SNP1;Outcome;2004;1004;Recessive;DOMDEV;continuous;None;True;5000;-12.435342869606211;5858.01790282891;0.9983062597628166;;;0.9983062597628166;3.975568228111143e-06
SNP2;Outcome;2004;1004;Recessive;DOMDEV;continuous;None;True;5000;-0.23654460938814242;0.3571580710919079;0.5077810957671446;;;0.5077810957671446;0.7893506690661775
SNP2;Outcome;2004;1004;Recessive;Recessive;continuous;None;True;5000;0.1180503081422748;0.6777923684460206;0.8617327761246165;;;0.8617327761246165;1.12530072173216
SNP1;Outcome;2004;1004;Recessive;Recessive;continuous;None;True;5000;24.702175016533612;11716.035803525347;0.9983177356409814;;;0.9983177356409814;53458688582.21919
SNP1;Outcome;2004;1004;Recessive;Dominant;continuous;None;True;5000;0.2780201615384338;0.10353237769809709;0.007245495461795633;;;0.007245495461795633;1.3205128205106942
SNP2;Outcome;2004;1004;Recessive;Dominant;continuous;None;True;5000;-0.17848567740717317;0.11622554035118814;0.12461595450550844;;;0.12461595450550844;0.8365360381566503
SNP1;Outcome;2004;1004;Recessive;Codominant;categorical;None;True;5000;;;;7.942551372195454e-29;-125.40546628334687;7.942551372195454e-29;
SNP2;Outcome;2004;1004;Recessive;Codominant;categorical;None;True;5000;;;;0.27384276311700123;1.4095976108992545;0.27384276311700123;
SNP1;Outcome;2004;1004;Recessive;EDGE;continuous;None;True;5000;2.2396545054749053;0.27282750870049616;2.2294643736425617e-16;;;2.2294643736425617e-16;9.390086503470396
SNP2;Outcome;2004;1004;Recessive;EDGE;continuous;None;True;5000;-0.19141937086044714;0.12506189880718724;0.12586901625461033;;;0.12586901625461033;0.8257862048534649
SNP1;Outcome;2004;1004;Sub-Additive;Additive;continuous;None;True;5000;1.0373516799129678;0.09141399483474172;7.601463355971046e-30;;;7.601463355971046e-30;2.8217342548464535
SNP2;Outcome;2004;1004;Sub-Additive;Additive;continuous;None;True;5000;-0.16348974665692406;0.11229004961381936;0.1454038596905335;;;0.1454038596905335;0.8491752058416638
SNP1;Outcome;2004;1004;Sub-Additive;DOMDEV;continuous;None;True;5000;-0.6761629563390814;0.3861369381730337;0.07992932676113391;;;0.07992932676113391;0.5085646380959284
SNP2;Outcome;2004;1004;Sub-Additive;DOMDEV;continuous;None;True;5000;-0.23654460938814242;0.3571580710919079;0.5077810957671446;;;0.5077810957671446;0.7893506690661775
SNP1;Outcome;2004;1004;Sub-Additive;Recessive;continuous;None;True;5000;3.1904029805728107;0.7507177772512361;2.139582002121627e-05;;;2.139582002121627e-05;24.298217179902636
SNP2;Outcome;2004;1004;Sub-Additive;Recessive;continuous;None;True;5000;0.1180503081422748;0.6777923684460206;0.8617327761246165;;;0.8617327761246165;1.12530072173216
SNP1;Outcome;2004;1004;Sub-Additive;Dominant;continuous;None;True;5000;1.0411187541798577;0.09535305143837243;9.396583904181636e-28;;;9.396583904181636e-28;2.8323839839119884
SNP2;Outcome;2004;1004;Sub-Additive;Dominant;continuous;None;True;5000;-0.17848567740717317;0.11622554035118814;0.12461595450550844;;;0.12461595450550844;0.8365360381566503
SNP1;Outcome;2004;1004;Sub-Additive;Codominant;categorical;None;True;5000;;;;8.598109905193671e-29;-125.24685059237709;8.598109905193671e-29;
SNP2;Outcome;2004;1004;Sub-Additive;Codominant;categorical;None;True;5000;;;;0.27384276311700123;1.4095976108992545;0.27384276311700123;
SNP2;Outcome;2004;1004;Sub-Additive;EDGE;continuous;None;True;5000;-0.19141937086044714;0.12506189880718724;0.12586901625461033;;;0.12586901625461033;0.8257862048534649
SNP1;Outcome;2004;1004;Sub-Additive;EDGE;continuous;None;True;5000;0.37852752047021654;0.45045601133837276;0.4007285861468397;;;0.4007285861468397;1.4601329897915374
SNP1;Outcome;2004;1004;Additive;Additive;continuous;None;True;5000;1.0023650145049139;0.09876524939500587;3.3489772222249075e-24;;;3.3489772222249075e-24;2.7247182124825335
SNP2;Outcome;2004;1004;Additive;Additive;continuous;None;True;5000;-0.16348974665692406;0.11229004961381936;0.1454038596905335;;;0.1454038596905335;0.8491752058416638
SNP1;Outcome;2004;1004;Additive;DOMDEV;continuous;None;True;5000;0.21275907232222036;0.33727515622417614;0.5281598567513628;;;0.5281598567513628;1.2370865669428774
SNP2;Outcome;2004;1004;Additive;DOMDEV;continuous;None;True;5000;-0.23654460938814242;0.3571580710919079;0.5077810957671446;;;0.5077810957671446;0.7893506690661775
SNP1;Outcome;2004;1004;Additive;Recessive;continuous;None;True;5000;1.5078217178130626;0.6463261379538998;0.01965278760874622;;;0.01965278760874622;4.516881028938858
SNP2;Outcome;2004;1004;Additive;Recessive;continuous;None;True;5000;0.1180503081422748;0.6777923684460206;0.8617327761246165;;;0.8617327761246165;1.12530072173216
SNP1;Outcome;2004;1004;Additive;Dominant;continuous;None;True;5000;1.0333853955046823;0.10148157725819651;2.3620209212430375e-24;;;2.3620209212430375e-24;2.8105646198844694
SNP2;Outcome;2004;1004;Additive;Dominant;continuous;None;True;5000;-0.17848567740717317;0.11622554035118814;0.12461595450550844;;;0.12461595450550844;0.8365360381566503
SNP1;Outcome;2004;1004;Additive;Codominant;categorical;None;True;5000;;;;2.4925482359241167e-22;-95.48713294155095;2.4925482359241167e-22;
SNP2;Outcome;2004;1004;Additive;Codominant;categorical;None;True;5000;;;;0.27384276311700123;1.4095976108992545;0.27384276311700123;
SNP1;Outcome;2004;1004;Additive;EDGE;continuous;None;True;5000;-3.4764683442890445;0.5128135118627114;1.2083827820440777e-11;;;1.2083827820440777e-11;0.030916404552371705
SNP2;Outcome;2004;1004;Additive;EDGE;continuous;None;True;5000;-0.19141937086044714;0.12506189880718724;0.12586901625461033;;;0.12586901625461033;0.8257862048534649
SNP1;Outcome;2004;1004;Super_Additive;Additive;continuous;None;True;5000;1.005892246995274;0.10158378989165655;4.076483783117732e-23;;;4.076483783117732e-23;2.7343458966470786
SNP2;Outcome;2004;1004;Super_Additive;Additive;continuous;None;True;5000;-0.16348974665692406;0.11229004961381936;0.1454038596905335;;;0.1454038596905335;0.8491752058416638
SNP1;Outcome;2004;1004;Super_Additive;DOMDEV;continuous;None;True;5000;0.561914109051449;0.35020551081154844;0.10859799361408719;;;0.10859799361408719;1.7540266874909827
SNP2;Outcome;2004;1004;Super_Additive;DOMDEV;continuous;None;True;5000;-0.23654460938814242;0.3571580710919079;0.5077810957671446;;;0.5077810957671446;0.7893506690661775
SNP1;Outcome;2004;1004;Super_Additive;Recessive;continuous;None;True;5000;0.8773396452897138;0.6716171460849008;0.19144743557085364;;;0.19144743557085364;2.404494382022477
SNP2;Outcome;2004;1004;Super_Additive;Recessive;continuous;None;True;5000;0.1180503081422748;0.6777923684460206;0.8617327761246165;;;0.8617327761246165;1.12530072173216
SNP1;Outcome;2004;1004;Super_Additive;Dominant;continuous;None;True;5000;1.0510355160745761;0.10418997799675837;6.263008031530907e-24;;;6.263008031530907e-24;2.8606117943808482
SNP2;Outcome;2004;1004;Super_Additive;Dominant;continuous;None;True;5000;-0.17848567740717317;0.11622554035118814;0.12461595450550844;;;0.12461595450550844;0.8365360381566503
SNP1;Outcome;2004;1004;Super_Additive;Codominant;categorical;None;True;5000;;;;9.367806196026879e-22;-92.83918621531666;9.367806196026879e-22;
SNP2;Outcome;2004;1004;Super_Additive;Codominant;categorical;None;True;5000;;;;0.27384276311700123;1.4095976108992545;0.27384276311700123;
SNP1;Outcome;2004;1004;Super_Additive;EDGE;continuous;None;True;5000;-2.4224707134937287;0.26954247641289397;2.532789828025411e-19;;;2.532789828025411e-19;0.08870218880353951
SNP2;Outcome;2004;1004;Super_Additive;EDGE;continuous;None;True;5000;-0.19141937086044714;0.12506189880718724;0.12586901625461033;;;0.12586901625461033;0.8257862048534649
SNP1;Outcome;2004;1004;Dominant;Additive;continuous;None;True;5000;0.9761342878502384;0.10324177922605374;3.2352283331186746e-21;;;3.2352283331186746e-21;2.6541761038917038
SNP2;Outcome;2004;1004;Dominant;Additive;continuous;None;True;5000;-0.16348974665692406;0.11229004961381936;0.1454038596905335;;;0.1454038596905335;0.8491752058416638
SNP1;Outcome;2004;1004;Dominant;DOMDEV;continuous;None;True;5000;0.6418005299652633;0.3388513024144527;0.058218678757318267;;;0.058218678757318267;1.8998986259109427
SNP2;Outcome;2004;1004;Dominant;DOMDEV;continuous;None;True;5000;-0.23654460938814242;0.3571580710919079;0.5077810957671446;;;0.5077810957671446;0.7893506690661775
SNP1;Outcome;2004;1004;Dominant;Recessive;continuous;None;True;5000;0.6947510301419266;0.64632525008858;0.2824084046342984;;;0.2824084046342984;2.0032102728732077
SNP2;Outcome;2004;1004;Dominant;Recessive;continuous;None;True;5000;0.1180503081422748;0.6777923684460206;0.8617327761246165;;;0.8617327761246165;1.12530072173216
SNP1;Outcome;2004;1004;Dominant;Dominant;continuous;None;True;5000;1.0317871467330217;0.10636861035377401;3.0117581850941988e-22;;;3.0117581850941988e-22;2.806076226173363
SNP2;Outcome;2004;1004;Dominant;Dominant;continuous;None;True;5000;-0.17848567740717317;0.11622554035118814;0.12461595450550844;;;0.12461595450550844;0.8365360381566503
SNP1;Outcome;2004;1004;Dominant;Codominant;categorical;None;True;5000;;;;3.539734261764147e-20;-85.57530040570236;3.539734261764147e-20;
SNP2;Outcome;2004;1004;Dominant;Codominant;categorical;None;True;5000;;;;0.27384276311700123;1.4095976108992545;0.27384276311700123;
SNP1;Outcome;2004;1004;Dominant;EDGE;continuous;None;True;5000;-1.8150765164822849;0.20264826356136803;3.3428878424610745e-19;;;3.3428878424610745e-19;0.16282544908294158
SNP2;Outcome;2004;1004;Dominant;EDGE;continuous;None;True;5000;-0.19141937086044714;0.12506189880718724;0.12586901625461033;;;0.12586901625461033;0.8257862048534649
SNP1;Outcome;2004;1004;Heterozygous;Additive;continuous;None;True;5000;0.9062993604906857;0.10234832938376932;8.364787342781766e-19;;;8.364787342781766e-19;2.4751459413659647
SNP2;Outcome;2004;1004;Heterozygous;Additive;continuous;None;True;5000;-0.16348974665692406;0.11229004961381936;0.1454038596905335;;;0.1454038596905335;0.8491752058416638
SNP1;Outcome;2004;1004;Heterozygous;DOMDEV;continuous;None;True;5000;1.7161201909405583;0.5306041736479732;0.0012195166506536377;;;0.0012195166506536377;5.562903537567437
SNP2;Outcome;2004;1004;Heterozygous;DOMDEV;continuous;None;True;5000;-0.23654460938814242;0.3571580710919079;0.5077810957671446;;;0.5077810957671446;0.7893506690661775
SNP1;Outcome;2004;1004;Heterozygous;Recessive;continuous;None;True;5000;-1.3886991718973665;1.0413454286778747;0.1823472926675459;;;0.1823472926675459;0.24939951961586798
SNP2;Outcome;2004;1004;Heterozygous;Recessive;continuous;None;True;5000;0.1180503081422748;0.6777923684460206;0.8617327761246165;;;0.8617327761246165;1.12530072173216
SNP1;Outcome;2004;1004;Heterozygous;Dominant;continuous;None;True;5000;1.0204689613732212;0.10640570352534787;8.777853145783814e-22;;;8.777853145783814e-22;2.7744955901838013
SNP2;Outcome;2004;1004;Heterozygous;Dominant;continuous;None;True;5000;-0.17848567740717317;0.11622554035118814;0.12461595450550844;;;0.12461595450550844;0.8365360381566503
SNP1;Outcome;2004;1004;Heterozygous;Codominant;categorical;None;True;5000;;;;9.699057639753678e-22;-92.76968663123989;9.699057639753678e-22;
SNP2;Outcome;2004;1004;Heterozygous;Codominant;categorical;None;True;5000;;;;0.27384276311700123;1.4095976108992545;0.27384276311700123;
