ID,ABBREVIATION,DATABASE,CATEGORY,DATASET,SOURCE_PATH,DESTINATION_PATH,FILE_FORMAT,FILE_NAME,VERSION,UPD_FILE,SIZE,LAST_UPDATE
0,HMDB_XX,Human Metabolome Database,Protein/Gene Sequences,All Metabolite Metabolizing Enzymes,https://hmdb.ca/system/downloads/current/sequences/protein.fasta.zip,defaut,FASTA,protein.fasta.zip,5,0,,
1,HMDB,Human Metabolome Database,Protein/Gene Sequences,All Metabolite Metabolizing Enzymes,https://hmdb.ca/system/downloads/current/sequences/gene.fasta.zip,defaut,FASTA,gene.fasta.zip,5,0,,
2,HMDB,Human Metabolome Database,Structures,Metabolite Structures,https://hmdb.ca/system/downloads/current/structures.zip,defaut,SDF,structures.zip,5,0,,
3,HMDB,Human Metabolome Database,Metabolite and Protein Data,All Metabolites,https://hmdb.ca/system/downloads/current/hmdb_metabolites.zip,defaut,XML,hmdb_metabolites.zip,5,0,,
4,HMDB,Human Metabolome Database,Metabolite and Protein Data,All Proteins,https://hmdb.ca/system/downloads/current/hmdb_proteins.zip,defaut,XML,hmdb_proteins.zip,5,0,,
5,HMDB,Human Metabolome Database,Metabolite and Protein Data,Urine Metabolites,https://hmdb.ca/system/downloads/current/urine_metabolites.zip,defaut,XML,urine_metabolites.zip,5,0,,
6,HMDB,Human Metabolome Database,Metabolite and Protein Data,Serum Metabolites,https://hmdb.ca/system/downloads/current/serum_metabolites.zip,defaut,XML,serum_metabolites.zip,5,0,,
7,HMDB,Human Metabolome Database,Metabolite and Protein Data,CSF Metabolites,https://hmdb.ca/system/downloads/current/csf_metabolites.zip,defaut,XML,csf_metabolites.zip,5,0,,
8,HMDB,Human Metabolome Database,Metabolite and Protein Data,Saliva Metabolites,https://hmdb.ca/system/downloads/current/saliva_metabolites.zip,defaut,XML,saliva_metabolites.zip,5,0,,
9,HMDB,Human Metabolome Database,Metabolite and Protein Data,Feces Metabolites,https://hmdb.ca/system/downloads/current/feces_metabolites.zip,defaut,XML,feces_metabolites.zip,5,0,,
10,HMDB,Human Metabolome Database,Metabolite and Protein Data,Sweat Metabolites,https://hmdb.ca/system/downloads/current/sweat_metabolites.zip,defaut,XML,sweat_metabolites.zip,5,0,,
11,HMDB,Human Metabolome Database,Spectra,Mass Spectra Image Files,http://specdb.wishartlab.com/downloads/exports/image_files/hmdb_image_files.zip,defaut,,hmdb_image_files.zip,5,0,,
12,HMDB,Human Metabolome Database,Spectra,NMR Spectra FID Files,http://specdb.wishartlab.com/downloads/exports/fid_files/hmdb_fid_files.zip,defaut,FID,hmdb_fid_files.zip,5,0,,
13,HMDB,Human Metabolome Database,Spectra,Raw NMR Spectra Peaklist Files (TXT),http://specdb.wishartlab.com/downloads/exports/peak_lists_txt/hmdb_nmr_peak_lists.zip,defaut,TXT,hmdb_nmr_peak_lists.zip,5,0,,
14,HMDB,Human Metabolome Database,Spectra,Raw GC-MS Spectra Peaklist Files (TXT) - Predicted,http://specdb.wishartlab.com/downloads/exports/peak_lists_txt/hmdb_predicted_cms_peak_lists.zip,defaut,TXT,hmdb_predicted_cms_peak_lists.zip,5,0,,
15,HMDB,Human Metabolome Database,Spectra,Raw MS-MS Spectra Peaklist Files (TXT) - Predicted,http://specdb.wishartlab.com/downloads/exports/peak_lists_txt/hmdb_predicted_msms_peak_lists.zip,defaut,TXT,hmdb_predicted_msms_peak_lists.zip,5,0,,
16,HMDB,Human Metabolome Database,Spectra,Raw MS-MS Spectra Peaklist Files (TXT) - Experimental,http://specdb.wishartlab.com/downloads/exports/peak_lists_txt/hmdb_experimental_msms_peak_lists.zip,defaut,TXT,hmdb_experimental_msms_peak_lists.zip,5,0,,
17,HMDB,Human Metabolome Database,Spectra,All Raw Spectra Peaklist Files (TXT),http://specdb.wishartlab.com/downloads/exports/peak_lists_txt/hmdb_all_peak_lists.zip,defaut,TXT,hmdb_all_peak_lists.zip,5,0,,
18,HMDB,Human Metabolome Database,Spectra,NMR Spectra Files (XML),http://specdb.wishartlab.com/downloads/exports/spectra_xml/hmdb_nmr_spectra.zip,defaut,XML,hmdb_nmr_spectra.zip,5,0,,
19,HMDB,Human Metabolome Database,Spectra,GC-MS Spectra Files (XML) - Predicted,http://specdb.wishartlab.com/downloads/exports/spectra_xml/hmdb_predicted_cms_spectra.zip,defaut,XML,hmdb_predicted_cms_spectra.zip,5,0,,
