Variable;Outcome;TestSeed;TrainSeed;BioAct;Encoding;Variable_type;Weight;Converged;N;Beta;SE;Beta_pvalue;LRT_pvalue;Diff_AIC;pvalue;odds ratio
SNP2;Outcome;2000;0;Recessive;Additive;continuous;None;True;1000;-0.5433768783877755;0.29055892725684174;0.06146867649151381;;;0.06146867649151381;0.5807837012869524
SNP1;Outcome;2000;0;Recessive;Additive;continuous;None;True;1000;0.017006020505772684;0.26032981673058686;0.947915313493469;;;0.947915313493469;1.0171514460729594
SNP1;Outcome;2000;0;Recessive;DOMDEV;continuous;None;True;1000;9.783971489358834;8865.183450556286;0.9991194228237361;;;0.9991194228237361;17746.99508096298
SNP2;Outcome;2000;0;Recessive;DOMDEV;continuous;None;True;1000;9.228928098795885;8865.184160149909;0.9991693778967569;;;0.9991693778967569;10187.615539606619
SNP2;Outcome;2000;0;Recessive;Recessive;continuous;None;True;1000;-19.468790456035414;17730.36991152675;0.9991238849342489;;;0.9991238849342489;3.5059985780086e-09
SNP1;Outcome;2000;0;Recessive;Recessive;continuous;None;True;1000;-19.468790456036;17730.36991153208;0.9991238849342491;;;0.9991238849342491;3.5059985780065447e-09
SNP2;Outcome;2000;0;Recessive;Dominant;continuous;None;True;1000;-0.5394073302061604;0.2931122299590841;0.0657277630374333;;;0.0657277630374333;0.5830937320281495
SNP1;Outcome;2000;0;Recessive;Dominant;continuous;None;True;1000;0.03516784100959208;0.2642547283328569;0.894127652796412;;;0.894127652796412;1.0357935428449343
SNP2;Outcome;2000;0;Recessive;Codominant;categorical;None;True;1000;;;;0.12817830340604852;-0.10866597804147204;0.12817830340604852;
SNP1;Outcome;2000;0;Recessive;Codominant;categorical;None;True;1000;;;;0.7358139574502633;3.3864440651805126;0.7358139574502633;
SNP2;Outcome;2000;0;Recessive;EDGE;continuous;None;True;1000;-22.673783895977888;12.653285188017259;0.07314440038915468;;;0.07314440038915468;1.4220038430761146e-10
SNP1;Outcome;2000;0;Recessive;EDGE;continuous;None;True;1000;-2.0567076155340223;3.575131889728507;0.5651008594192836;;;0.5651008594192836;0.1278742889116496
SNP2;Outcome;2000;0;Sub-Additive;Additive;continuous;None;True;1000;-0.5433768783877755;0.29055892725684174;0.06146867649151381;;;0.06146867649151381;0.5807837012869524
SNP1;Outcome;2000;0;Sub-Additive;Additive;continuous;None;True;1000;0.1973371158913369;0.2513423719564532;0.4323757672929305;;;0.4323757672929305;1.2181546307779416
SNP1;Outcome;2000;0;Sub-Additive;DOMDEV;continuous;None;True;1000;10.007717338150515;6268.63233782907;0.9987261974652967;;;0.9987261974652967;22197.10908868656
SNP2;Outcome;2000;0;Sub-Additive;DOMDEV;continuous;None;True;1000;9.228928098795885;8865.184160149909;0.9991693778967569;;;0.9991693778967569;10187.615539606619
SNP1;Outcome;2000;0;Sub-Additive;Recessive;continuous;None;True;1000;-19.47012646159462;12537.264797581096;0.9987609014161365;;;0.9987609014161365;3.5013176719723032e-09
SNP2;Outcome;2000;0;Sub-Additive;Recessive;continuous;None;True;1000;-19.468790456035414;17730.36991152675;0.9991238849342489;;;0.9991238849342489;3.5059985780086e-09
SNP2;Outcome;2000;0;Sub-Additive;Dominant;continuous;None;True;1000;-0.5394073302061604;0.2931122299590841;0.0657277630374333;;;0.0657277630374333;0.5830937320281495
SNP1;Outcome;2000;0;Sub-Additive;Dominant;continuous;None;True;1000;0.2471228587786199;0.25981558411216926;0.34152966999831647;;;0.34152966999831647;1.2803364036825668
SNP2;Outcome;2000;0;Sub-Additive;Codominant;categorical;None;True;1000;;;;0.12817830340604852;-0.10866597804147204;0.12817830340604852;
SNP1;Outcome;2000;0;Sub-Additive;Codominant;categorical;None;True;1000;;;;0.31697269135241457;1.7021206880619957;0.31697269135241457;
SNP2;Outcome;2000;0;Sub-Additive;EDGE;continuous;None;True;1000;-22.673783895977888;12.653285188017259;0.07314440038915468;;;0.07314440038915468;1.4220038430761146e-10
SNP2;Outcome;2000;0;Additive;Additive;continuous;None;True;1000;-0.5433768783877755;0.29055892725684174;0.06146867649151381;;;0.06146867649151381;0.5807837012869524
SNP1;Outcome;2000;0;Additive;Additive;continuous;None;True;1000;0.27797541735471243;0.24898889225064894;0.26424370538917497;;;0.26424370538917497;1.320453736564288
SNP1;Outcome;2000;0;Additive;DOMDEV;continuous;None;True;1000;10.092387482482483;6268.632730254549;0.9987154205675048;;;0.9987154205675048;24158.401396169
SNP2;Outcome;2000;0;Additive;DOMDEV;continuous;None;True;1000;9.228928098795885;8865.184160149909;0.9991693778967569;;;0.9991693778967569;10187.615539606619
